t,error_m,ee_x,ee_y,ee_z,q0,q1,q2,q3,q4,q5,q6
7.083333333333333037e+00,2.391420692567260923e-03,3.074125349521636963e-01,-1.612616777420043945e-01,5.301739573478698730e-01,-1.959864204617720318e-01,-9.810696726726725325e-02,-8.009809184217203670e-01,-2.131628077831677182e+00,1.123009511698261020e+00,6.955114558712905959e-01,7.832038566569761162e-01
7.099999999999999645e+00,2.424455288202516379e-03,3.072705566883087158e-01,-1.619578301906585693e-01,5.293926596641540527e-01,-1.963855924436656297e-01,-9.582320399455533655e-02,-8.031711100475126264e-01,-2.133042644643226016e+00,1.124153988812585991e+00,6.943583048514845313e-01,7.860825980298601356e-01
7.116666666666666252e+00,2.195770158193196923e-03,3.071403801441192627e-01,-1.625974625349044800e-01,5.289000868797302246e-01,-1.965866031182121609e-01,-9.375719462667946036e-02,-8.052753696531328442e-01,-2.134016854442498001e+00,1.125681318714081280e+00,6.928643203475796097e-01,7.887126104818872330e-01
7.133333333333332860e+00,2.204902466438406899e-03,3.070329427719116211e-01,-1.631944924592971802e-01,5.281667113304138184e-01,-1.970621041659716965e-01,-9.154953289786346704e-02,-8.070763116156750572e-01,-2.135363041457812638e+00,1.126822311246647113e+00,6.917034944110413974e-01,7.917366767936657723e-01
7.149999999999999467e+00,2.198675430545828351e-03,3.069850802421569824e-01,-1.639317423105239868e-01,5.273645520210266113e-01,-1.976993050227300319e-01,-8.890583097393704726e-02,-8.090240413544463882e-01,-2.136534345175069571e+00,1.128161139725034179e+00,6.905263117283196861e-01,7.943565761861930419e-01
7.166666666666666963e+00,2.164828865051298540e-03,3.069578111171722412e-01,-1.646324843168258667e-01,5.265862345695495605e-01,-1.979949545662387511e-01,-8.653315433997259276e-02,-8.111571706678615268e-01,-2.137739319590810094e+00,1.129431481445373864e+00,6.896978527691629557e-01,7.971023541024616632e-01
7.183333333333333570e+00,2.113249029796471917e-03,3.070386350154876709e-01,-1.653130799531936646e-01,5.258116126060485840e-01,-1.982081916996331350e-01,-8.393108228633675005e-02,-8.131774343902616886e-01,-2.138733898903197872e+00,1.130883553286242238e+00,6.888805865921864280e-01,7.997945507969188572e-01
7.200000000000000178e+00,1.951488993483348460e-03,3.069947957992553711e-01,-1.661336570978164673e-01,5.250635147094726562e-01,-1.986060457094223630e-01,-8.140766826610408569e-02,-8.154877257122890022e-01,-2.139690481488884632e+00,1.132218463222188776e+00,6.879676362743142315e-01,8.022407905162542985e-01
7.216666666666666785e+00,1.734833976409714661e-03,3.068725168704986572e-01,-1.669386625289916992e-01,5.243685245513916016e-01,-1.988411505845285865e-01,-7.896840482980350961e-02,-8.179962961126552301e-01,-2.140673730020733245e+00,1.133524337042292940e+00,6.867750134462988765e-01,8.052918135313871240e-01
7.233333333333333393e+00,1.592374471309866918e-03,3.067743182182312012e-01,-1.677434593439102173e-01,5.235796570777893066e-01,-1.991124975549487253e-01,-7.633699329715794291e-02,-8.204339101468470785e-01,-2.141572354876779549e+00,1.134565508946281165e+00,6.856411909782176295e-01,8.080693429613331480e-01
