t,error_m,ee_x,ee_y,ee_z,q0,q1,q2,q3,q4,q5,q6
7.216666666666666785e+00,4.698555992256804592e-03,3.046002388000488281e-01,-1.676625162363052368e-01,5.299658775329589844e-01,-9.117866960596206216e-02,-5.486196758911391358e-01,-2.974688287702448863e-01,-2.026953502044177569e+00,-1.032832645877088257e-01,1.345551774098630027e+00,1.320480371908855366e+00
7.233333333333333393e+00,4.614117578134187270e-03,3.053676784038543701e-01,-1.680594682693481445e-01,5.293487310409545898e-01,-9.356985150038800436e-02,-5.459428092819895717e-01,-2.960113482479188596e-01,-2.026899081010755221e+00,-1.032053660561571412e-01,1.347528423920178797e+00,1.319833918349457624e+00
7.250000000000000000e+00,4.586130836188402268e-03,3.057075142860412598e-01,-1.687041670083999634e-01,5.285295844078063965e-01,-9.673255949227305139e-02,-5.437024016335925136e-01,-2.950624684398803210e-01,-2.027496676680064613e+00,-1.028295479355773034e-01,1.349018634189578014e+00,1.318046821746078123e+00
7.266666666666666607e+00,4.288973944382960465e-03,3.060254156589508057e-01,-1.690617948770523071e-01,5.273628830909729004e-01,-9.961754209498356605e-02,-5.414780538777212993e-01,-2.938225984739097907e-01,-2.028940660412943853e+00,-1.024495182992292003e-01,1.350338572425035633e+00,1.317297654965307263e+00
7.283333333333333215e+00,4.734997829031179113e-03,3.062060475349426270e-01,-1.688831597566604614e-01,5.267724990844726562e-01,-1.031967770947578300e-01,-5.407443012235030322e-01,-2.911376470937787064e-01,-2.030398728870565161e+00,-1.011751605023440415e-01,1.351548421138798695e+00,1.315460301000464183e+00
7.299999999999999822e+00,4.336659239495791775e-03,3.064239919185638428e-01,-1.687964498996734619e-01,5.251682996749877930e-01,-1.044191448379475223e-01,-5.398090754125516311e-01,-2.908208289028177962e-01,-2.033775181898561435e+00,-1.002748544914639911e-01,1.353559244230403635e+00,1.315978925384481135e+00
7.316666666666666430e+00,4.426429124293704623e-03,3.066201210021972656e-01,-1.693533211946487427e-01,5.243255496025085449e-01,-1.069390234090129566e-01,-5.380047402734503548e-01,-2.901808058545782831e-01,-2.034638731900508368e+00,-1.001343293467430173e-01,1.354731309771024517e+00,1.315615801043119815e+00
7.333333333333333037e+00,4.241242091224753548e-03,3.068400025367736816e-01,-1.697456985712051392e-01,5.230720043182373047e-01,-1.096886388464783924e-01,-5.361629996898928940e-01,-2.891955380318947388e-01,-2.036541269078568028e+00,-9.980088829185189414e-02,1.356301545963426003e+00,1.314411797463640008e+00
7.349999999999999645e+00,4.338306437796688765e-03,3.067134618759155273e-01,-1.700051724910736084e-01,5.220208168029785156e-01,-1.124851052242335642e-01,-5.356056551600306692e-01,-2.882021673790801652e-01,-2.038905399654085571e+00,-9.925416800553651941e-02,1.357542093722309273e+00,1.313376632376777486e+00
7.366666666666666252e+00,3.744374170959027717e-03,3.064253330230712891e-01,-1.709674447774887085e-01,5.205526351928710938e-01,-1.158000196684313976e-01,-5.341242036865105902e-01,-2.883469379472110017e-01,-2.041341367675821417e+00,-9.930461839937258783e-02,1.358746488832432320e+00,1.313358791647389667e+00
7.383333333333332860e+00,2.937635372060343544e-03,3.061081767082214355e-01,-1.722651869058609009e-01,5.189308524131774902e-01,-1.191555147738553172e-01,-5.322234905840504959e-01,-2.890997264286930823e-01,-2.043729626214075612e+00,-9.973466077444301248e-02,1.360109896395674367e+00,1.313890440522218483e+00
7.399999999999999467e+00,3.462437662079388776e-03,3.064346611499786377e-01,-1.730488687753677368e-01,5.186507105827331543e-01,-1.229581282922117408e-01,-5.301568456366034798e-01,-2.880555515131135724e-01,-2.043173275301746639e+00,-9.863793591774852598e-02,1.361516560075165749e+00,1.312562643072401114e+00
7.416666666666666963e+00,4.240165909856815490e-03,3.068610727787017822e-01,-1.739731729030609131e-01,5.185111165046691895e-01,-1.269981454771569596e-01,-5.276401108917384564e-01,-2.870162707301890381e-01,-2.041934209544527423e+00,-9.746871198965316452e-02,1.362879594933955607e+00,1.310899180535610720e+00
7.433333333333333570e+00,4.712283253364188407e-03,3.069617450237274170e-01,-1.742207407951354980e-01,5.179136991500854492e-01,-1.308208012692049782e-01,-5.264040367065242476e-01,-2.849811287661670467e-01,-2.042850859642354688e+00,-9.642527890929560030e-02,1.363882761622625006e+00,1.309002428177476141e+00
7.450000000000000178e+00,5.270978444487190925e-03,3.065679371356964111e-01,-1.739940047264099121e-01,5.172832012176513672e-01,-1.343589899470773175e-01,-5.270216575058744857e-01,-2.826878347160821092e-01,-2.045233461009594578e+00,-9.515446420754887502e-02,1.364276753208621740e+00,1.306315270468198619e+00
7.466666666666666785e+00,5.411287958288699997e-03,3.065313994884490967e-01,-1.736816614866256714e-01,5.161336064338684082e-01,-1.364522443565092946e-01,-5.264670734375269667e-01,-2.812304703748613188e-01,-2.047833601654515778e+00,-9.401219917781544755e-02,1.364965766500167543e+00,1.304647344611908233e+00
7.483333333333333393e+00,5.967092885493821726e-03,3.061240911483764648e-01,-1.738209128379821777e-01,5.154964923858642578e-01,-1.403341540747140292e-01,-5.266954692790967174e-01,-2.797241180902381164e-01,-2.049837568051577019e+00,-9.234094193135115869e-02,1.365525793031717727e+00,1.301049209856977029e+00
7.500000000000000000e+00,6.740947269801695479e-03,3.061810433864593506e-01,-1.736681014299392700e-01,5.150362253189086914e-01,-1.438463872135955779e-01,-5.263234652998035612e-01,-2.775808569958135297e-01,-2.051118894991469155e+00,-9.029075753624678236e-02,1.366497360714821419e+00,1.297766064610559988e+00
7.516666666666666607e+00,7.318383305361605279e-03,3.064265251159667969e-01,-1.739307790994644165e-01,5.145475268363952637e-01,-1.475181289055466916e-01,-5.250219011397219138e-01,-2.757641719947013792e-01,-2.051733129053407101e+00,-8.881113061089676575e-02,1.367883367658804916e+00,1.294790007911112761e+00
7.533333333333333215e+00,6.636137408835766742e-03,3.065722584724426270e-01,-1.741875857114791870e-01,5.126613378524780273e-01,-1.493635207275511578e-01,-5.229960109796603085e-01,-2.756477387536176438e-01,-2.054809923218768208e+00,-8.812623602438816872e-02,1.369494127454882637e+00,1.294268541766718572e+00
7.549999999999999822e+00,5.671754544691091915e-03,3.063224256038665771e-01,-1.760929822921752930e-01,5.110394954681396484e-01,-1.531074827591973053e-01,-5.200719742882453644e-01,-2.771784662091140716e-01,-2.056303199150740557e+00,-8.881855879690890576e-02,1.371201165413687528e+00,1.294554930728627262e+00
7.566666666666666430e+00,3.748171039634443091e-03,3.065325915813446045e-01,-1.771095991134643555e-01,5.080949664115905762e-01,-1.542544843570886892e-01,-5.155531994214042069e-01,-2.786131865569968502e-01,-2.059639977086905827e+00,-9.005470870172345432e-02,1.372724179039609860e+00,1.296701940997448732e+00
7.583333333333333037e+00,2.823961523428304872e-03,3.066242933273315430e-01,-1.784778535366058350e-01,5.060131549835205078e-01,-1.559733278557865199e-01,-5.123879408135958435e-01,-2.805101061425357978e-01,-2.062029986838243900e+00,-9.071946477015306598e-02,1.375057124436862122e+00,1.298381749796054141e+00
7.599999999999999645e+00,2.511656314010572884e-03,3.064889013767242432e-01,-1.793145090341567993e-01,5.043024420738220215e-01,-1.573936901273982614e-01,-5.104377165644411463e-01,-2.817009464455823009e-01,-2.064496740459765167e+00,-9.108583622639233879e-02,1.376433725655270335e+00,1.299575537932942781e+00
7.616666666666666252e+00,2.568489437282404052e-03,3.062311112880706787e-01,-1.788268834352493286e-01,5.033824443817138672e-01,-1.589878620034614609e-01,-5.111157632438844134e-01,-2.801447758095675367e-01,-2.067506239220100905e+00,-9.038050757273483060e-02,1.377114434967140255e+00,1.298663808804933151e+00
7.633333333333332860e+00,3.019821001906107874e-03,3.064879775047302246e-01,-1.784131377935409546e-01,5.027729272842407227e-01,-1.613890645328058537e-01,-5.100582077518560631e-01,-2.778015737407328878e-01,-2.068544772782860974e+00,-8.897651548330229310e-02,1.377602289419338044e+00,1.298769971884444541e+00
7.649999999999999467e+00,3.419005471721408597e-03,3.067059218883514404e-01,-1.781318336725234985e-01,5.019677877426147461e-01,-1.641422443421965971e-01,-5.085464328840465509e-01,-2.755184936651831062e-01,-2.069659859788082201e+00,-8.762202907985393308e-02,1.377953547426558290e+00,1.298059634660202688e+00
7.666666666666666963e+00,4.051414780675733837e-03,3.069922327995300293e-01,-1.779148578643798828e-01,5.013574361801147461e-01,-1.670431454766194979e-01,-5.075403511963486602e-01,-2.733340305342325527e-01,-2.070783600301342897e+00,-8.590334281522025994e-02,1.379107098782395457e+00,1.296176020750527291e+00
7.683333333333333570e+00,4.032062407028089504e-03,3.075157403945922852e-01,-1.781381666660308838e-01,5.001421570777893066e-01,-1.692110732492594360e-01,-5.044508747783998936e-01,-2.717327252036457752e-01,-2.071559900787228070e+00,-8.598251455396840881e-02,1.380180014654848852e+00,1.296219914463995426e+00
7.700000000000000178e+00,4.418461412633332280e-03,3.072380125522613525e-01,-1.777915656566619873e-01,4.992251694202423096e-01,-1.723760475620411403e-01,-5.048125222292249026e-01,-2.695624761084349785e-01,-2.074423493432642651e+00,-8.446450370245819905e-02,1.380981974720419503e+00,1.293389087014883199e+00
7.716666666666666785e+00,5.129916936167600028e-03,3.075647354125976562e-01,-1.780843287706375122e-01,4.988180398941040039e-01,-1.762042548349334881e-01,-5.031681095615465615e-01,-2.674991530655219663e-01,-2.074543616576958627e+00,-8.292296617706092221e-02,1.382266865793333022e+00,1.290642835528388099e+00
7.733333333333333393e+00,5.554585607991457431e-03,3.079681098461151123e-01,-1.789619624614715576e-01,4.981664121150970459e-01,-1.798572739087956340e-01,-5.001781978412985774e-01,-2.661301585326036334e-01,-2.074044869293998783e+00,-8.277483991033784960e-02,1.383552268878907920e+00,1.289293574995240776e+00
7.750000000000000000e+00,5.317670224187087333e-03,3.079601526260375977e-01,-1.790540814399719238e-01,4.967316687107086182e-01,-1.824202480272335281e-01,-4.988032556946806473e-01,-2.651626237235595873e-01,-2.076620761877155719e+00,-8.163549214779297625e-02,1.384802433933251864e+00,1.287606238245976753e+00
7.766666666666666607e+00,5.970220076930017952e-03,3.083077967166900635e-01,-1.801764667034149170e-01,4.961698949337005615e-01,-1.860948765090420232e-01,-4.956395526911085425e-01,-2.643564047989058752e-01,-2.075667799033625638e+00,-8.146357671520630672e-02,1.385940379201037853e+00,1.286349038319725580e+00
7.783333333333333215e+00,5.781037758992022164e-03,3.090178072452545166e-01,-1.796578466892242432e-01,4.945725500583648682e-01,-1.876546845652377338e-01,-4.926468140392022410e-01,-2.619490092862275521e-01,-2.077511985745292833e+00,-8.067962204829964845e-02,1.387123824919925807e+00,1.286914744618143924e+00
7.799999999999999822e+00,3.449006918196073548e-03,3.082885146141052246e-01,-1.802611500024795532e-01,4.911477565765380859e-01,-1.894198376748832680e-01,-4.897917295318735542e-01,-2.634964692574708889e-01,-2.083161453701017685e+00,-8.078560146601071468e-02,1.387594827104818629e+00,1.289004100519409279e+00
7.816666666666666430e+00,3.793616154062919195e-03,3.079456388950347900e-01,-1.795256435871124268e-01,4.904059767723083496e-01,-1.913741886827281247e-01,-4.909457022823682237e-01,-2.615420902760621225e-01,-2.086158061501915739e+00,-7.919619403919538059e-02,1.387938303241205151e+00,1.288930285374136231e+00
7.833333333333333037e+00,4.260284835435721069e-03,3.076573014259338379e-01,-1.789679080247879028e-01,4.896402359008789062e-01,-1.931865341548023307e-01,-4.912463730289267083e-01,-2.598217616216372816e-01,-2.088441781392430752e+00,-7.802326598542319580e-02,1.387745043577634618e+00,1.287464780387202135e+00
